username,score,purple,legendaries,userId
Stefan_g11,74000.00,20000,27,2048673886
Alexander_Shikin,74000.00,20000,27,299990305
kunyukboy,74000.00,20000,27,999821424
narcer,73800.00,18000,31,7236284543
matovskikh,73605.00,21030,25,677251938
Oxsolranger,73600.00,23000,22,1788332499
Tulibad,73600.00,23000,22,414435554
kab_s,73600.00,23000,22,866536859
kintoARX,73500.00,21000,25,7149327783
pooh1980,73100.00,17000,33,585234044
Thomas_Jop,73100.00,17000,33,8458105729
Art_Stalagnate,72900.00,27000,17,243009604
Yulouy,72600.00,33000,12,665234664
Alexeyy_dem,72600.00,22000,23,348869324
MrBigPand,72420.00,24140,20,1319359943
alx_brg,72200.00,38000,9,6403838608
mew_mai,72114.00,21210,24,5268819176
1140656230,72000.00,20000,26,1140656230
addissonVT,72000.00,20000,26,7454085836
Mcsuuu,72000.00,18000,30,6461235867
Rullyy98,71560.00,17890,30,5682254346
BlackTAB75,71400.00,21000,24,139246041
godbolte1,71400.00,21000,24,1867264566
evgenijpalmer,71400.00,21000,24,6964726372
RambooPX,71400.00,21000,24,7292441696
7433872983,71400.00,17000,32,7433872983
7642621451,71400.00,17000,32,7642621451
496939198,71346.00,21620,23,496939198
AlexeiN85,71300.00,23000,21,1175868704
bambastic94,71300.00,23000,21,556771492
PunkToFunk,71300.00,23000,21,647297901
7623614773,71300.00,23000,21,7623614773
MikhMan,71238.00,22980,21,333542722
A_O_A_07,71136.00,22230,22,1829612750
crypton222,70500.00,15000,37,495324091
La_Dame_de_Monsoreau,70400.00,22000,22,1472759993
AbdulkadirHTY,70400.00,22000,22,5036433284
5164159910,70400.00,22000,22,5164159910
527083544,70346.00,20690,24,527083544
nizogo,70308.00,25110,18,328465245
SHUNchan189,70004.00,18920,27,5956279855
Ancouch,70000.00,25000,18,1049852601
Oksana_7774,70000.00,25000,18,5064655416
meganesanz,69700.00,17000,31,5337597398
Innesa0707,69600.00,24000,19,549287747
roelterrus,69600.00,24000,19,7108815109
Jurez27,69363.00,25690,17,5761303769
Melis_mkm,68970.00,20900,23,702925375
fb8GVIlEcvcONvjc,68800.00,16000,33,487914982
olga_crypto_space,68800.00,16000,33,7074802686
nikulinpark,68400.00,19000,26,304805526
Serz1988,68400.00,19000,26,5201236225
zYqQVC,68400.00,19000,26,7478084074
serventy,68400.00,19000,26,7962525029
NikitaSm1,68200.00,22000,21,1131600468
1647040407,68200.00,22000,21,1647040407
PieroElSolo,68200.00,22000,21,1724215461
7776446134,67600.00,26000,16,7776446134
Koyshem1,67500.00,25000,17,1239752370
1986691062,67500.00,25000,17,1986691062
nkarmazova,67500.00,25000,17,330740690
dimatah,67500.00,25000,17,5461403877
snow_illustration,67500.00,25000,17,6844594341
6767901200,67356.00,18710,26,6767901200
Juikvk,67200.00,32000,11,7784606351
demy_btc,67200.00,24000,18,5305424270
MikePatt,67200.00,21000,22,1431509805
5318719128,67200.00,21000,22,5318719128
S1m3tri,67200.00,21000,22,595524663
vuruGez,67200.00,21000,22,7395986773
ludook22,67200.00,16000,32,6595769722
Sidasida1,67200.00,16000,32,8451828987
Riesling3,67158.00,16380,31,6147813969
MarynaLes,67056.00,20320,23,694231039
AlexKoli84,66700.00,29000,13,1024407587
zeynnnnnz,66700.00,23000,19,6131760470
5264963423,66630.00,22210,20,5264963423
kseniya_parfeniuk,66600.00,37000,8,547991743
Ivangoto,66600.00,18000,27,842070363
7600927978,66500.00,35000,9,7600927978
7763194818,66500.00,35000,9,7763194818
ZFiJJH,66500.00,19000,25,7546051027
meskpmhgs,66300.00,13000,41,7843612998
5811288539,66164.00,23630,18,5811288539
Superstupidboy,66000.00,33000,10,7517575512
Dondokekeks,66000.00,30000,12,992876583
Mr_Tcm,66000.00,22000,20,1508982442
VMordo,66000.00,22000,20,5095079250
bouje13,66000.00,20000,23,131466426
Aleks25nik,66000.00,20000,23,6188202688
7395885228,65940.00,21980,20,7395885228
Iq753,65859.00,22710,19,1638785247
hqlk2016,65703.00,19910,23,5020376275
Myyr_t,65600.00,16000,31,1696798012
bhupendra07,65000.00,25000,16,851452067
mahyudinn,64800.00,27000,14,7556783565
Musashiroi,64600.00,19000,24,1841028334
L33Marvin,64600.00,19000,24,5887176212
SERELDA,64600.00,19000,24,6280182281
6973680201,64600.00,19000,24,6973680201
TienHV,64600.00,17000,28,512370214
yegrium,64600.00,17000,28,6271281178
Solanagirrl,64548.00,17930,26,5319540335
Kostyayarmol,64418.00,20780,21,1045710945
Salvador05,64368.00,53640,2,7219388123
7328379332,64334.00,16930,28,7328379332
currykobo,64332.00,17870,26,6037986047
7976413163,64260.00,17850,26,7976413163
CDtuxo2,64071.00,23730,17,596598145
6063307151,64000.00,20000,22,6063307151
